Variable:,pr
,Cuba,Camaguey,"Ciego De Avila",Cienfuegos,"Ciudad De La Habana",Granma,Guantanamo,Holguin,"Isla De La Juventud","La Habana","Las Tunas",Matanzas,"Pinar Del Rio","Sancti Spiritus","Santiago De Cuba","Villa Clara"
1901,1568.86,1426.22,1350.88,1660.03,1695.87,1617.31,1337.57,1333.16,1732.41,1776.55,1358.23,1707.38,1829.38,1558.92,1739.85,1608.88
1902,1281.99,1298.90,1236.84,1346.88,1386.14,1153.04,1102.13,1122.06,1388.33,1396.77,1126.77,1293.10,1478.74,1387.99,1262.01,1329.55
1903,1334.95,1311.92,1271.94,1405.70,1470.33,1201.21,1130.46,1142.07,1503.73,1492.72,1131.31,1373.11,1592.83,1430.73,1332.46,1399.27
1904,1321.58,1386.68,1287.25,1230.24,1251.25,1452.07,1323.86,1281.15,1141.48,1252.30,1290.38,1199.83,1228.71,1355.12,1594.79,1306.22
1905,1390.76,1411.24,1270.73,1237.45,1281.11,1693.09,1457.26,1410.44,1099.64,1284.33,1375.44,1223.18,1250.53,1352.72,1877.58,1299.86
1906,1616.02,1435.48,1302.76,1652.79,1661.17,1827.25,1494.78,1448.04,1780.41,1722.86,1452.81,1667.16,1824.70,1553.66,1995.32,1592.30
1907,1114.11,1265.52,1210.20,1084.50,1024.88,1020.86,1011.11,1029.67,988.45,1069.19,1056.10,1024.32,1091.44,1292.15,1104.42,1138.82
1908,1341.48,1307.68,1297.23,1503.17,1515.45,1107.17,1099.50,1121.93,1505.56,1552.24,1100.67,1491.65,1561.57,1470.16,1220.70,1481.05
1909,1475.02,1386.34,1289.97,1527.73,1565.40,1544.37,1345.50,1304.83,1503.40,1603.32,1311.32,1542.66,1608.28,1471.67,1692.08,1505.97
1910,1390.69,1331.14,1199.91,1414.83,1465.32,1483.34,1345.13,1307.11,1379.22,1456.91,1272.91,1391.54,1439.03,1399.85,1642.87,1374.77
1911,1191.45,1243.97,1247.45,1293.86,1297.12,893.83,987.76,1011.60,1331.09,1313.79,983.93,1261.84,1372.62,1386.71,1003.24,1334.67
1912,1224.99,1210.68,1235.64,1440.75,1488.24,769.72,919.09,957.04,1485.48,1525.12,926.83,1437.22,1581.05,1428.85,866.67,1408.43
