Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,WCA Round,Census Year,Unit,Value,Flag,Flag Description,Note
"WCAD","Structural data from agricultural censuses","004","Afghanistan","60850","Number","27002","Holdings","2000","2003","No","3044670","A","Official figure",""
"WCAD","Structural data from agricultural censuses","008","Albania","60850","Number","27002","Holdings","1990","1995","No","444300","A","Official figure",""
"WCAD","Structural data from agricultural censuses","008","Albania","50260","Area","27002","Holdings","2000","1998","ha","1889498","A","Official figure",""
"WCAD","Structural data from agricultural censuses","008","Albania","5017","Average area","27002","Holdings","2000","1998","ha","4.05","E","Estimated value",""
"WCAD","Structural data from agricultural censuses","008","Albania","60850","Number","27002","Holdings","2000","1998","No","466809","A","Official figure",""
"WCAD","Structural data from agricultural censuses","008","Albania","50260","Area","27002","Holdings","2010","2012","ha","371609","A","Official figure",""
"WCAD","Structural data from agricultural censuses","008","Albania","5017","Average area","27002","Holdings","2010","2012","ha","1.16","E","Estimated value",""
"WCAD","Structural data from agricultural censuses","008","Albania","60850","Number","27002","Holdings","2010","2012","No","321492","A","Official figure",""
"WCAD","Structural data from agricultural censuses","008","Albania","60850","Number","270030","Holdings with land size 0-<1","1990","1995","No","274000","A","Official figure","Land under crops"
"WCAD","Structural data from agricultural censuses","008","Albania","50260","Area","270030","Holdings with land size 0-<1","2000","1998","ha","128508","A","Official figure",""
"WCAD","Structural data from agricultural censuses","008","Albania","60850","Number","270030","Holdings with land size 0-<1","2000","1998","No","279793","A","Official figure",""
"WCAD","Structural data from agricultural censuses","008","Albania","50260","Area","270030","Holdings with land size 0-<1","2010","2012","ha","99758","T","Unofficial figure","Interpolated data"
"WCAD","Structural data from agricultural censuses","008","Albania","60850","Number","270030","Holdings with land size 0-<1","2010","2012","No","215033","T","Unofficial figure","Interpolated data"
"WCAD","Structural data from agricultural censuses","008","Albania","60850","Number","270031","Holdings with land size 1-<2","1990","1995","No","170300","A","Official figure","Land under crops"
"WCAD","Structural data from agricultural censuses","008","Albania","50260","Area","270031","Holdings with land size 1-<2","2000","1998","ha","198921","A","Official figure",""
"WCAD","Structural data from agricultural censuses","008","Albania","60850","Number","270031","Holdings with land size 1-<2","2000","1998","No","140377","A","Official figure",""
"WCAD","Structural data from agricultural censuses","008","Albania","50260","Area","270031","Holdings with land size 1-<2","2010","2012","ha","109987","A","Official figure",""
"WCAD","Structural data from agricultural censuses","008","Albania","60850","Number","270031","Holdings with land size 1-<2","2010","2012","No","76550","A","Official figure",""
"WCAD","Structural data from agricultural censuses","008","Albania","50260","Area","270032","Holdings with land size 2-<3","2010","2012","ha","48544","A","Official figure",""
