Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Months Code,Months,Unit,Value,Flag,Flag Description
PP,Producer Prices,40,Austria,5532,Producer Price (USD/tonne),2211,Raw milk of cattle,1991,1991,7021,Annual value,USD,454.8,A,Official figure
PP,Producer Prices,40,Austria,5532,Producer Price (USD/tonne),2211,Raw milk of cattle,1992,1992,7021,Annual value,USD,499.6,A,Official figure
PP,Producer Prices,40,Austria,5532,Producer Price (USD/tonne),2211,Raw milk of cattle,1993,1993,7021,Annual value,USD,468.6,A,Official figure
PP,Producer Prices,40,Austria,5532,Producer Price (USD/tonne),2211,Raw milk of cattle,1994,1994,7021,Annual value,USD,478.9,A,Official figure
PP,Producer Prices,40,Austria,5532,Producer Price (USD/tonne),2211,Raw milk of cattle,1995,1995,7021,Annual value,USD,372.9,A,Official figure
PP,Producer Prices,40,Austria,5532,Producer Price (USD/tonne),2211,Raw milk of cattle,1996,1996,7021,Annual value,USD,363.6,A,Official figure
PP,Producer Prices,40,Austria,5532,Producer Price (USD/tonne),2211,Raw milk of cattle,1997,1997,7021,Annual value,USD,316.3,A,Official figure
PP,Producer Prices,40,Austria,5532,Producer Price (USD/tonne),2211,Raw milk of cattle,1998,1998,7021,Annual value,USD,321.4,A,Official figure
PP,Producer Prices,40,Austria,5532,Producer Price (USD/tonne),2211,Raw milk of cattle,1999,1999,7021,Annual value,USD,308.9,A,Official figure
PP,Producer Prices,40,Austria,5532,Producer Price (USD/tonne),2211,Raw milk of cattle,2000,2000,7021,Annual value,USD,267.1,A,Official figure
PP,Producer Prices,40,Austria,5532,Producer Price (USD/tonne),2211,Raw milk of cattle,2001,2001,7021,Annual value,USD,298.2,A,Official figure
PP,Producer Prices,40,Austria,5532,Producer Price (USD/tonne),2211,Raw milk of cattle,2002,2002,7021,Annual value,USD,296.4,A,Official figure
PP,Producer Prices,40,Austria,5532,Producer Price (USD/tonne),2211,Raw milk of cattle,2003,2003,7021,Annual value,USD,335.2,A,Official figure
PP,Producer Prices,40,Austria,5532,Producer Price (USD/tonne),2211,Raw milk of cattle,2004,2004,7021,Annual value,USD,366.3,A,Official figure
PP,Producer Prices,40,Austria,5532,Producer Price (USD/tonne),2211,Raw milk of cattle,2005,2005,7021,Annual value,USD,365.6,A,Official figure
PP,Producer Prices,40,Austria,5532,Producer Price (USD/tonne),2211,Raw milk of cattle,2006,2006,7021,Annual value,USD,375.1,A,Official figure
PP,Producer Prices,40,Austria,5532,Producer Price (USD/tonne),2211,Raw milk of cattle,2007,2007,7021,Annual value,USD,462.6,A,Official figure
PP,Producer Prices,40,Austria,5532,Producer Price (USD/tonne),2211,Raw milk of cattle,2008,2008,7021,Annual value,USD,569.8,A,Official figure
PP,Producer Prices,40,Austria,5532,Producer Price (USD/tonne),2211,Raw milk of cattle,2009,2009,7021,Annual value,USD,402.9,A,Official figure
PP,Producer Prices,40,Austria,5532,Producer Price (USD/tonne),2211,Raw milk of cattle,2010,2010,7021,Annual value,USD,419.9,A,Official figure
PP,Producer Prices,40,Austria,5532,Producer Price (USD/tonne),2211,Raw milk of cattle,2011,2011,7021,Annual value,USD,490.7,A,Official figure
PP,Producer Prices,40,Austria,5532,Producer Price (USD/tonne),2211,Raw milk of cattle,2012,2012,7021,Annual value,USD,435.6,A,Official figure
PP,Producer Prices,40,Austria,5532,Producer Price (USD/tonne),2211,Raw milk of cattle,2013,2013,7021,Annual value,USD,499.2,A,Official figure
PP,Producer Prices,40,Austria,5532,Producer Price (USD/tonne),2211,Raw milk of cattle,2014,2014,7021,Annual value,USD,524.1,A,Official figure
PP,Producer Prices,40,Austria,5532,Producer Price (USD/tonne),2211,Raw milk of cattle,2015,2015,7021,Annual value,USD,373.7,A,Official figure
PP,Producer Prices,40,Austria,5532,Producer Price (USD/tonne),2211,Raw milk of cattle,2016,2016,7021,Annual value,USD,346.2,A,Official figure
PP,Producer Prices,40,Austria,5532,Producer Price (USD/tonne),2211,Raw milk of cattle,2017,2017,7021,Annual value,USD,421.4,A,Official figure
PP,Producer Prices,40,Austria,5532,Producer Price (USD/tonne),2211,Raw milk of cattle,2018,2018,7021,Annual value,USD,477.1,A,Official figure
PP,Producer Prices,40,Austria,5532,Producer Price (USD/tonne),2211,Raw milk of cattle,2019,2019,7021,Annual value,USD,414.2,A,Official figure
PP,Producer Prices,40,Austria,5532,Producer Price (USD/tonne),2211,Raw milk of cattle,2020,2020,7021,Annual value,USD,430.6,A,Official figure
PP,Producer Prices,56,Belgium,5532,Producer Price (USD/tonne),2211,Raw milk of cattle,2000,2000,7021,Annual value,USD,276.3,A,Official figure
PP,Producer Prices,56,Belgium,5532,Producer Price (USD/tonne),2211,Raw milk of cattle,2001,2001,7021,Annual value,USD,283.6,A,Official figure
PP,Producer Prices,56,Belgium,5532,Producer Price (USD/tonne),2211,Raw milk of cattle,2002,2002,7021,Annual value,USD,272.9,A,Official figure
PP,Producer Prices,56,Belgium,5532,Producer Price (USD/tonne),2211,Raw milk of cattle,2003,2003,7021,Annual value,USD,304.7,A,Official figure
PP,Producer Prices,56,Belgium,5532,Producer Price (USD/tonne),2211,Raw milk of cattle,2004,2004,7021,Annual value,USD,356.3,A,Official figure
PP,Producer Prices,56,Belgium,5532,Producer Price (USD/tonne),2211,Raw milk of cattle,2005,2005,7021,Annual value,USD,343.2,A,Official figure
PP,Producer Prices,56,Belgium,5532,Producer Price (USD/tonne),2211,Raw milk of cattle,2006,2006,7021,Annual value,USD,323.3,A,Official figure
PP,Producer Prices,56,Belgium,5532,Producer Price (USD/tonne),2211,Raw milk of cattle,2007,2007,7021,Annual value,USD,444.4,A,Official figure
PP,Producer Prices,56,Belgium,5532,Producer Price (USD/tonne),2211,Raw milk of cattle,2008,2008,7021,Annual value,USD,453.5,A,Official figure
PP,Producer Prices,56,Belgium,5532,Producer Price (USD/tonne),2211,Raw milk of cattle,2009,2009,7021,Annual value,USD,315.5,A,Official figure
PP,Producer Prices,56,Belgium,5532,Producer Price (USD/tonne),2211,Raw milk of cattle,2010,2010,7021,Annual value,USD,387.4,A,Official figure
PP,Producer Prices,56,Belgium,5532,Producer Price (USD/tonne),2211,Raw milk of cattle,2011,2011,7021,Annual value,USD,443.6,A,Official figure
PP,Producer Prices,56,Belgium,5532,Producer Price (USD/tonne),2211,Raw milk of cattle,2012,2012,7021,Annual value,USD,369.9,A,Official figure
PP,Producer Prices,56,Belgium,5532,Producer Price (USD/tonne),2211,Raw milk of cattle,2013,2013,7021,Annual value,USD,474.3,A,Official figure
PP,Producer Prices,56,Belgium,5532,Producer Price (USD/tonne),2211,Raw milk of cattle,2014,2014,7021,Annual value,USD,465.4,A,Official figure
PP,Producer Prices,56,Belgium,5532,Producer Price (USD/tonne),2211,Raw milk of cattle,2015,2015,7021,Annual value,USD,291.5,A,Official figure
PP,Producer Prices,56,Belgium,5532,Producer Price (USD/tonne),2211,Raw milk of cattle,2016,2016,7021,Annual value,USD,273,A,Official figure
PP,Producer Prices,56,Belgium,5532,Producer Price (USD/tonne),2211,Raw milk of cattle,2017,2017,7021,Annual value,USD,367.3,A,Official figure
PP,Producer Prices,56,Belgium,5532,Producer Price (USD/tonne),2211,Raw milk of cattle,2018,2018,7021,Annual value,USD,351.8,A,Official figure
PP,Producer Prices,56,Belgium,5532,Producer Price (USD/tonne),2211,Raw milk of cattle,2019,2019,7021,Annual value,USD,338.5,A,Official figure
PP,Producer Prices,56,Belgium,5532,Producer Price (USD/tonne),2211,Raw milk of cattle,2020,2020,7021,Annual value,USD,327.2,A,Official figure
PP,Producer Prices,100,Bulgaria,5532,Producer Price (USD/tonne),2211,Raw milk of cattle,1998,1998,7021,Annual value,USD,200.4,A,Official figure
PP,Producer Prices,100,Bulgaria,5532,Producer Price (USD/tonne),2211,Raw milk of cattle,1999,1999,7021,Annual value,USD,143.2,A,Official figure
PP,Producer Prices,100,Bulgaria,5532,Producer Price (USD/tonne),2211,Raw milk of cattle,2000,2000,7021,Annual value,USD,159.7,A,Official figure
PP,Producer Prices,100,Bulgaria,5532,Producer Price (USD/tonne),2211,Raw milk of cattle,2001,2001,7021,Annual value,USD,165.7,A,Official figure
PP,Producer Prices,100,Bulgaria,5532,Producer Price (USD/tonne),2211,Raw milk of cattle,2002,2002,7021,Annual value,USD,163.7,A,Official figure
PP,Producer Prices,100,Bulgaria,5532,Producer Price (USD/tonne),2211,Raw milk of cattle,2003,2003,7021,Annual value,USD,189.3,A,Official figure
PP,Producer Prices,100,Bulgaria,5532,Producer Price (USD/tonne),2211,Raw milk of cattle,2004,2004,7021,Annual value,USD,256.5,A,Official figure
