Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TCL","Crops and livestock products","040","Austria","5910","Export Quantity","02211","Raw milk of cattle","1961","1961","tonnes","18423","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5910","Export Quantity","02211","Raw milk of cattle","1962","1962","tonnes","18793","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5910","Export Quantity","02211","Raw milk of cattle","1963","1963","tonnes","16614","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5910","Export Quantity","02211","Raw milk of cattle","1964","1964","tonnes","11974","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5910","Export Quantity","02211","Raw milk of cattle","1965","1965","tonnes","11660","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5910","Export Quantity","02211","Raw milk of cattle","1966","1966","tonnes","13150","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5910","Export Quantity","02211","Raw milk of cattle","1967","1967","tonnes","13263","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5910","Export Quantity","02211","Raw milk of cattle","1968","1968","tonnes","9369","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5910","Export Quantity","02211","Raw milk of cattle","1969","1969","tonnes","8559","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5910","Export Quantity","02211","Raw milk of cattle","1970","1970","tonnes","7911","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5910","Export Quantity","02211","Raw milk of cattle","1971","1971","tonnes","7868","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5910","Export Quantity","02211","Raw milk of cattle","1972","1972","tonnes","6121","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5910","Export Quantity","02211","Raw milk of cattle","1973","1973","tonnes","5059","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5910","Export Quantity","02211","Raw milk of cattle","1974","1974","tonnes","2242","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5910","Export Quantity","02211","Raw milk of cattle","1975","1975","tonnes","4958","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5910","Export Quantity","02211","Raw milk of cattle","1976","1976","tonnes","5113","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5910","Export Quantity","02211","Raw milk of cattle","1977","1977","tonnes","5298","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5910","Export Quantity","02211","Raw milk of cattle","1978","1978","tonnes","4903","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5910","Export Quantity","02211","Raw milk of cattle","1979","1979","tonnes","4481","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5910","Export Quantity","02211","Raw milk of cattle","1980","1980","tonnes","4104","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5910","Export Quantity","02211","Raw milk of cattle","1981","1981","tonnes","4416","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5910","Export Quantity","02211","Raw milk of cattle","1982","1982","tonnes","4065","A","Official figure"
